,,,,,,,,,,,,,,,,,,,,,,,,,,VACCINATION DATES,,,,,,,,,,,,,,,,,,,,,,,,,
ID,NT-Date,Name,Date of Birth,Litter,Breed,Coat Length,Color,Age,Health Summary,Sex,Size,Microchipped,Microchip ID,Microchip Company,Bonded (Y/N),Bonded With,Energy Level,Good with Cats,Good with Dogs,Good with Kids,House Trained,Must Go With Another Cat,Personality Tags,Prefers To Be Alone,Special Needs,1st Set                          8 weeks (2 months),2nd Set                         12 weeks (3 months),3rd Set                         16 weeks (4 months),Rabies,Spayed/Neutered Date ,Spayed/Neutered,Vaccinations Up To Date,Environment Type,Intake Date,Shelter Location,Status,Adoption Fee,Adoption Date,Is Adopted,Adopted By,New Adopted Name,Health Concerns,Current Medications,Survey Completed,Is Sponsored,Sponsored By,Sponsorship Amount,Sponsored Date,Is Returned,Return Date,Return Reason
20,,"Bud ""Rose""",4/20/2025,420 Family,Domestic Shorthair,short,Black,"7 Months, 27 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,6/18/2025,8/12/2025,Owner handled vet visits,Owner handled vet visits,10/8/2025,TRUE,FALSE,,,,adopted,----,7/19/2025,TRUE,Gina Mendez,,,,FALSE,FALSE,,,,FALSE,,
21,,Buttercup,11/13/2022,,,,,,,,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
22,24-0513,Button,11/13/2022,,Domestic Shorthair,short,Dilute Tabby,"3 Years, 1 Months, 4 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,2/15/2025,TRUE,Andrew Cheatham,,,,FALSE,FALSE,,,,FALSE,,
23,,Casper,4/16/2025,Maria Herrera's Kids,Domestic Shorthair,short,White with Gray,"8 Months, 1 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,8/8/2025,9/7/2025,,8/8/2025,8/8/2025,TRUE,FALSE,,,,adopted,----,11/2/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
24,,Celeste,9/8/2025,Cosmic,Domestic Shorthair,short,Orange Tabby,"3 Months, 9 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,9/10/2025,Due 10/1,,9/10/2025,,FALSE,FALSE,,,,available,$300.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
25,,Charlie,3/20/2025,Grey Family,Domestic Medium Hair,short,Grey Tabby,"8 Months, 27 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,6/6/2025,,,6/26/2025,,FALSE,FALSE,,,,adopted,----,7/19/2025,TRUE,Zoie Maxey,,,,FALSE,FALSE,,,,FALSE,,
26,,Chase,6/9/2025,,Domestic Shorthair,,,"6 Months, 8 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,2/16/2025,TRUE,Che Lewis,,,,FALSE,FALSE,,,,FALSE,,
27,,Cheech,4/20/2025,420 Family,Domestic Shorthair,,Tuxedo,"7 Months, 27 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,8/12/2025,,,9/19/2025,,FALSE,FALSE,,,,adopted,----,8/31/2025,TRUE,Starlyn Hall,,,,FALSE,FALSE,,,,FALSE,,
28,,Chino,4/29/2025,City Kitty Family,Domestic Shorthair,,Dilute Tabby,"7 Months, 18 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,8/13/2025,,,,,FALSE,FALSE,,,,adopted,----,7/23/2025,TRUE,Owner (Ara) ended up keeping this kitten,,,,FALSE,FALSE,,,,FALSE,,
29,,Chong,4/20/2025,420 Family,Domestic Shorthair,,Black.& White,"7 Months, 27 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,6/18/2025,7/16/2025,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
30,,Cinder,10/4/2024,,Domestic Shorthair,,Tabby,"1 Years, 2 Months, 13 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,3/29/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
31,,Cisco,2/9/2025,,Domestic Shorthair,,Orange,"10 Months, 8 Days",,male,,FALSE,,,FALSE,,high,FALSE,FALSE,FALSE,FALSE,FALSE,playful,FALSE,,8/14/2025,9/10/2025,,9/10/2025,9/19/2025,TRUE,FALSE,,,,adopted,----,10/11/2025,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
32,,Clara,8/14/2024,,Domestic Shorthair,,Tuxedo,"1 Years, 4 Months, 3 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
33,,Claremont,4/29/2025,City Kitty Family,Domestic Shorthair,,Dilute Tabby,"7 Months, 18 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,8/20/2025,,,8/20/2025,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
34,,Coco,6/1/2024,,Siamese,,Chocolate,"1 Years, 6 Months, 16 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
35,12-1012,Colby,7/22/2024,Cheese Family,Domestic Shorthair,,Tuxedo,"1 Years, 4 Months, 25 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,10/14/2025,11/5/2025,,11/5/2025,,FALSE,FALSE,,,,available,$250.00,,FALSE,,,,,FALSE,FALSE,,,,FALSE,,
36,,Cosmic,10/4/2024,Apple Family,Domestic Longhair,,Tabby,"1 Years, 2 Months, 13 Days",,female,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
37,24-0513,Cosmo,2/7/2024,Apple Family,Domestic Shorthair,,Lilac Point,"1 Years, 10 Months, 10 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
38,,Cow Bunny,4/2/2025,Bunny Family,Domestic Medium Hair,,Tuxedo,"8 Months, 15 Days",,male,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,7/4/2025,,,,,FALSE,FALSE,,,,adopted,----,9/6/2025,TRUE,Carmen Del Pinal,,,,FALSE,FALSE,,,,FALSE,,
39,,Creme,1/1/2020,,,,,"5 Years, 11 Months, 16 Days",,unknown,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,FALSE,FALSE,,,,adopted,----,,TRUE,,,,,FALSE,FALSE,,,,FALSE,,
